"# Program:featureCounts v1.6.4; Command:""featureCounts"" ""-a"" ""Pflu55.saf.txt"" ""-F"" ""SAF"" ""-t"" ""GeneID"" ""--read2pos"" ""5"" ""-o"" ""Mark22_counts.txt"" ""YL37_1.sam"" ""YL37_2.sam"" ""YL37_3.sam"" ""GM103_1.sam"" ""GM103_2.sam"" ""GM103_3.sam"" ""YL57_1.sam"" ""YL57_2.sam"" ""YL57_3.sam"" "																												
																												
Geneid	Chr	Start	End	Strand	Length	YL37_1.sam	YL37_2.sam	YL37_3.sam	GM103_1.sam	GM103_2.sam	GM103_3.sam	YL57_1.sam	YL57_2.sam	YL57_3.sam	YL37_1.norm	YL37_2.norm	YL37_3.norm	GM103_1.norm	GM103_2.norm	GM103_3.norm	YL57_1.norm	YL57_2.norm	YL57_3.norm	log2FC 57vs37	log2FC 103vs37	#Orf	Name	Desc
33931E_Pfluorescens55_04927	1	5377023	5378945	-	1923	157	85	3	146	20	217	0	1	0	44.60227273	30.03533569	1.714285714	51.4084507	5.524861878	72.81879195	0	0.5	0	-7.254592043	0.765022086	33931E_Pfluorescens55_04927	dnaK_2	Chaperone protein DnaK
33931E_Pfluorescens55_04366	1	4779214	4779309	+	96	10	82	13	43	1	1	1	0	0	2.840909091	28.97526502	7.428571429	15.14084507	0.276243094	0.33557047	0.403225806	0	0	-6.604767721	-1.316904167	33931E_Pfluorescens55_04366		hypothetical protein
33931E_Pfluorescens55_02529	1	2742032	2742337	+	306	104	4	11	124	82	78	0	0	1	29.54545455	1.413427562	6.285714286	43.66197183	22.6519337	26.17449664	0	0	0.390625	-6.575103033	1.312241338	33931E_Pfluorescens55_02529		hypothetical protein
33931E_Pfluorescens55_02720	1	2974353	2975243	+	891	20	1	50	0	71	47	1	0	0	5.681818182	0.35335689	28.57142857	0	19.61325967	15.77181208	0.403225806	0	0	-6.423315575	0.032093485	33931E_Pfluorescens55_02720	nadK	NAD kinase
33931E_Pfluorescens55_02705	1	2954573	2954686	+	114	25	16	30	40	0	0	1	0	0	7.102272727	5.653710247	17.14285714	14.08450704	0	0	0.403225806	0	0	-6.212357734	-1.085980448	33931E_Pfluorescens55_02705		hypothetical protein
33931E_Pfluorescens55_05137	1	5596413	5596718	-	306	42	90	66	90	27	5	0	0	3	11.93181818	31.80212014	37.71428571	31.69014085	7.458563536	1.677852349	0	0	1.171875	-6.118992646	-0.996375344	33931E_Pfluorescens55_05137	rpsN	30S ribosomal protein S14
33931E_Pfluorescens55_00898	1	1022591	1023385	+	795	66	16	34	60	36	16	0	2	0	18.75	5.653710247	19.42857143	21.12676056	9.944751381	5.369127517	0	1	0	-5.453921875	-0.266445504	33931E_Pfluorescens55_00898	murI_1	Glutamate racemase
33931E_Pfluorescens55_01326	1	1468902	1469804	+	903	152	0	0	0	36	0	3	0	0	43.18181818	0	0	0	9.944751381	0	1.209677419	0	0	-5.157729704	-2.11841678	33931E_Pfluorescens55_01326	era	GTPase Era
33931E_Pfluorescens55_00838	1	961616	961720	+	105	18	98	2	59	14	6	0	0	3	5.113636364	34.62897527	1.142857143	20.77464789	3.867403315	2.013422819	0	0	1.171875	-5.124697586	-0.617156344	33931E_Pfluorescens55_00838		hypothetical protein
33931E_Pfluorescens55_03819	1	4177129	4177380	+	252	0	146	4	1	1	1	3	0	1	0	51.59010601	2.285714286	0.352112676	0.276243094	0.33557047	1.209677419	0	0.390625	-5.073221459	-5.804571365	33931E_Pfluorescens55_03819		hypothetical protein
